C,Mn,Si,Cr,Ni,Mo,Log_Tau_Ferrite,Log_Tau_Pearlite,Log_Tau_Bainite
0.456,1.197,1.059,3.191,3.751,0.142,0.912,2.394,6.382
0.401,0.735,0.59,1.24,2.078,4.054,0.802,1.47,2.48
0.139,1.333,0.752,4.649,1.57,0.998,0.278,2.666,9.298
1.465,0.991,0.819,0.019,4.87,4.386,2.93,1.982,0.038
1.159,0.49,1.392,3.778,4.621,4.369,2.318,0.98,7.556
0.585,0.891,0.679,2.957,1.275,0.946,1.17,1.782,5.914
0.81,1.14,1.353,3.591,1.832,0.837,1.62,2.28,7.182
1.008,1.002,1.159,1.182,4.943,3.914,2.016,2.004,2.364
0.888,1.498,0.112,1.166,0.356,3.735,1.776,2.996,2.332
1.116,0.512,0.644,2.585,0.041,3.035,2.232,1.024,5.17
1.322,1.103,1.345,2.388,2.674,0.828,2.644,2.206,4.776
0.198,0.179,0.206,4.726,3.404,3.907,0.396,0.358,9.452
1.45,0.3,1.209,2.852,1.697,1.817,2.9,0.6,5.704
0.712,1.08,0.476,2.575,2.092,4.277,1.424,2.16,5.15
1.026,1.295,1.191,2.138,3.003,0.784,2.052,2.59,4.276
1.448,1.136,1.152,4.053,1.728,0.028,2.896,2.272,8.106
0.642,1.257,0.152,3.364,3.732,3.486,1.284,2.514,6.728
0.154,1.484,1.224,3.934,4.43,0.913,0.308,2.968,7.868
0.994,0.721,1.092,4.524,2.514,3.897,1.988,1.442,9.048
0.601,1.076,0.52,3.259,0.613,2.093,1.202,2.152,6.518
0.484,0.128,1.16,4.194,3.555,4.819,0.968,0.256,8.388
1.092,1.335,0.546,0.062,0.272,2.804,2.184,2.67,0.124
0.678,1.103,0.765,0.408,2.997,1.873,1.356,2.206,0.816
0.413,1.314,0.571,2.183,2.899,1.946,0.826,2.628,4.366
1.302,0.44,0.374,3.904,4.049,4.133,2.604,0.88,7.808
0.686,0.771,0.205,2.597,4.073,2.157,1.372,1.542,5.194
1.033,0.34,1.301,3.745,0.345,3.088,2.066,0.68,7.49
0.402,0.527,0.994,4.493,1.272,1.018,0.804,1.054,8.986
1.117,0.263,0.754,1.669,4.251,3.568,2.234,0.526,3.338
0.336,0.565,1.025,4.716,4.696,3.32,0.672,1.13,9.432
1.438,0.572,0.573,1.387,3.484,2.626,2.876,1.144,2.774
0.528,0.487,1.0,4.168,1.876,3.47,1.056,0.974,8.336
0.469,0.266,0.429,0.597,4.978,2.442,0.938,0.532,1.194
1.167,0.642,1.009,0.997,2.017,4.529,2.334,1.284,1.994
0.283,0.176,0.854,2.513,0.979,2.173,0.566,0.352,5.026
0.876,0.878,0.135,1.376,4.841,0.258,1.752,1.756,2.752
0.946,1.28,0.157,1.102,2.006,0.656,1.892,2.56,2.204
0.7,0.211,0.715,2.824,4.791,1.271,1.4,0.422,5.648
1.183,0.837,0.188,2.637,2.753,0.755,2.366,1.674,5.274
0.7,1.195,0.648,1.792,4.957,1.876,1.4,2.39,3.584
1.436,1.191,0.519,1.719,0.056,1.821,2.872,2.382,3.438
0.443,0.191,1.188,1.914,0.104,2.907,0.886,0.382,3.828
0.913,1.233,0.148,4.05,1.069,1.28,1.826,2.466,8.1
0.912,0.46,1.104,0.501,3.895,4.408,1.824,0.92,1.002
0.213,0.959,1.103,0.37,1.508,2.952,0.426,1.918,0.74
0.176,1.21,0.581,2.103,3.702,3.669,0.352,2.42,4.206
1.291,1.269,1.466,2.949,1.488,1.807,2.582,2.538,5.898
0.113,1.158,1.315,2.471,4.216,3.62,0.226,2.316,4.942
0.11,1.385,0.382,0.85,3.471,1.954,0.22,2.77,1.7
0.48,0.613,1.314,0.725,2.873,1.505,0.96,1.226,1.45
0.558,0.602,1.348,4.564,0.315,1.654,1.116,1.204,9.128
0.113,1.014,1.058,1.277,2.859,4.629,0.226,2.028,2.554
0.41,1.183,1.037,4.956,1.277,4.13,0.82,2.366,9.912
1.132,0.977,1.359,2.335,4.513,1.827,2.264,1.954,4.67
1.228,0.471,0.786,3.827,4.545,2.507,2.456,0.942,7.654
1.208,0.669,1.444,4.076,3.698,0.302,2.416,1.338,8.152
0.776,0.419,0.991,1.53,1.493,2.292,1.552,0.838,3.06
1.47,0.188,0.804,2.756,3.806,1.543,2.94,0.376,5.512
1.205,1.39,1.1,2.208,1.851,3.517,2.41,2.78,4.416
0.231,1.241,0.661,2.596,0.498,1.83,0.462,2.482,5.192
0.235,1.304,0.878,4.23,2.43,3.092,0.47,2.608,8.46
0.703,1.02,0.916,4.461,2.51,0.573,1.406,2.04,8.922
0.224,0.229,1.388,4.216,3.901,4.328,0.448,0.458,8.432
0.701,1.127,1.32,3.741,1.939,1.621,1.402,2.254,7.482
0.944,0.374,0.754,3.589,2.39,2.724,1.888,0.748,7.178
0.21,0.756,0.233,4.417,2.115,4.871,0.42,1.512,8.834
0.993,0.563,0.792,2.76,3.374,4.827,1.986,1.126,5.52
0.573,1.34,1.02,0.62,1.833,2.055,1.146,2.68,1.24
0.648,0.861,1.12,0.581,0.977,2.158,1.296,1.722,1.162
0.855,0.867,1.391,4.181,1.204,1.8,1.71,1.734,8.362
1.38,0.376,0.69,3.562,4.566,2.753,2.76,0.752,7.124
0.133,0.999,1.465,1.9,3.793,2.836,0.266,1.998,3.8
0.639,1.169,1.346,3.213,4.398,1.192,1.278,2.338,6.426
0.316,0.58,0.766,1.401,2.785,0.656,0.632,1.16,2.802
1.131,0.696,0.43,3.811,2.146,4.832,2.262,1.392,7.622
1.39,0.103,1.238,0.841,0.266,2.342,2.78,0.206,1.682
0.427,0.651,1.432,0.359,2.498,2.953,0.854,1.302,0.718
0.259,0.625,1.275,4.8,2.912,1.355,0.518,1.25,9.6
0.416,0.99,0.736,0.32,0.284,1.187,0.832,1.98,0.64
0.789,1.2,1.367,2.336,4.16,4.878,1.578,2.4,4.672
0.449,1.257,0.589,1.337,3.73,4.684,0.898,2.514,2.674
1.184,0.724,0.387,4.951,4.576,4.538,2.368,1.448,9.902
0.484,0.544,1.25,2.522,1.891,3.013,0.968,1.088,5.044
0.887,0.722,0.188,0.282,1.399,4.083,1.774,1.444,0.564
0.966,0.846,0.959,0.681,0.306,3.005,1.932,1.692,1.362
1.395,1.317,0.106,0.59,0.643,4.466,2.79,2.634,1.18
0.793,0.973,1.481,3.653,2.378,2.825,1.586,1.946,7.306
0.195,0.146,0.868,1.078,4.897,1.136,0.39,0.292,2.156
0.82,0.621,0.908,3.01,3.898,1.488,1.64,1.242,6.02
0.646,0.546,0.879,2.876,3.769,3.748,1.292,1.092,5.752
0.289,1.049,0.586,0.667,0.502,4.437,0.578,2.098,1.334
0.872,0.711,0.519,1.771,1.943,2.688,1.744,1.422,3.542
0.121,0.461,0.191,3.71,0.155,1.294,0.242,0.922,7.42
0.649,1.091,1.1,0.137,0.004,0.735,1.298,2.182,0.274
0.464,0.903,0.941,0.897,1.722,4.23,0.928,1.806,1.794
0.186,1.078,0.592,1.353,4.224,4.541,0.372,2.156,2.706
1.231,0.27,0.716,3.231,3.978,4.069,2.462,0.54,6.462
1.123,0.731,0.864,1.404,2.422,0.026,2.246,1.462,2.808
1.03,0.823,0.716,4.967,1.397,0.026,2.06,1.646,9.934
0.183,0.725,0.517,2.346,0.206,0.632,0.366,1.45,4.692
0.12,1.309,0.273,4.284,0.891,2.4,0.24,2.618,8.568
1.271,0.736,1.311,0.971,0.148,2.691,2.542,1.472,1.942
0.131,0.962,0.906,3.544,1.447,2.612,0.262,1.924,7.088
1.051,0.535,0.988,3.32,4.765,4.247,2.102,1.07,6.64
1.141,0.634,0.967,4.152,1.327,2.736,2.282,1.268,8.304
0.647,1.291,1.472,1.93,3.942,0.453,1.294,2.582,3.86
0.517,0.753,0.397,3.233,4.63,0.545,1.034,1.506,6.466
1.059,0.653,0.223,0.401,1.289,4.083,2.118,1.306,0.802
0.465,0.808,1.303,1.041,3.396,3.539,0.93,1.616,2.082
1.379,1.229,0.416,3.651,4.514,2.308,2.758,2.458,7.302
0.302,1.361,0.534,2.748,4.456,2.152,0.604,2.722,5.496
0.248,0.797,0.418,4.476,4.155,3.345,0.496,1.594,8.952
0.155,0.76,0.565,2.389,0.579,3.295,0.31,1.52,4.778
0.198,0.453,0.578,0.426,1.823,0.147,0.396,0.906,0.852
0.839,0.538,1.477,4.549,4.33,4.87,1.678,1.076,9.098
0.984,1.33,1.256,2.852,1.563,0.691,1.968,2.66,5.704
0.596,0.312,1.335,2.378,1.354,0.047,1.192,0.624,4.756
0.508,1.389,0.589,2.193,4.969,1.488,1.016,2.778,4.386
0.759,0.361,0.456,1.897,2.241,4.13,1.518,0.722,3.794
0.764,0.655,0.309,2.378,0.775,0.789,1.528,1.31,4.756
1.337,0.139,0.653,3.612,3.133,2.801,2.674,0.278,7.224
0.671,1.306,0.44,2.759,3.699,0.77,1.342,2.612,5.518
0.676,0.475,1.041,2.142,3.841,2.719,1.352,0.95,4.284
0.154,1.249,1.059,2.01,0.111,0.542,0.308,2.498,4.02
0.467,0.837,1.174,0.289,3.439,0.305,0.934,1.674,0.578
0.46,1.125,0.75,1.585,0.656,3.659,0.92,2.25,3.17
0.634,0.545,0.859,3.344,4.66,0.914,1.268,1.09,6.688
0.934,0.829,0.771,3.474,3.223,2.905,1.868,1.658,6.948
1.32,0.203,1.149,0.277,4.132,0.549,2.64,0.406,0.554
0.496,1.309,0.198,0.547,1.638,3.602,0.992,2.618,1.094
0.81,1.261,0.713,3.529,1.985,4.744,1.62,2.522,7.058
0.56,0.91,0.148,3.075,0.461,2.265,1.12,1.82,6.15
0.8,0.567,0.884,1.321,3.526,2.233,1.6,1.134,2.642
1.312,0.968,0.689,1.496,4.658,0.416,2.624,1.936,2.992
0.402,1.047,0.728,1.221,3.98,4.185,0.804,2.094,2.442
1.246,1.067,1.159,2.096,1.625,3.351,2.492,2.134,4.192
1.093,0.328,0.944,1.783,3.28,2.343,2.186,0.656,3.566
0.266,0.383,1.057,1.331,1.762,0.045,0.532,0.766,2.662
1.296,0.996,1.325,0.943,4.189,1.78,2.592,1.992,1.886
0.565,1.311,0.641,4.941,1.236,2.987,1.13,2.622,9.882
0.232,0.126,0.887,0.686,4.532,0.098,0.464,0.252,1.372
1.002,1.327,0.475,2.637,0.771,0.913,2.004,2.654,5.274
0.386,1.441,0.824,1.098,1.451,1.732,0.772,2.882,2.196
1.275,0.127,1.192,1.729,4.223,3.819,2.55,0.254,3.458
0.526,1.029,1.008,2.863,1.013,2.416,1.052,2.058,5.726
0.787,1.096,1.179,4.048,0.118,1.092,1.574,2.192,8.096
0.455,1.033,1.344,4.646,0.21,2.924,0.91,2.066,9.292
1.02,0.792,0.244,0.035,2.299,3.399,2.04,1.584,0.07
0.754,0.184,0.768,4.336,2.451,2.404,1.508,0.368,8.672
1.438,0.75,1.215,4.796,3.691,1.237,2.876,1.5,9.592
0.382,0.921,0.552,1.48,1.977,0.677,0.764,1.842,2.96
1.13,0.642,1.173,2.214,3.035,3.573,2.26,1.284,4.428
0.306,0.322,0.916,4.804,1.332,1.062,0.612,0.644,9.608
1.479,0.193,1.141,2.208,2.75,3.216,2.958,0.386,4.416
0.81,0.569,0.142,3.571,2.813,3.184,1.62,1.138,7.142
1.428,0.591,0.85,1.546,2.236,2.44,2.856,1.182,3.092
1.31,0.721,1.405,1.593,3.856,2.704,2.62,1.442,3.186
0.147,0.252,0.823,2.283,3.439,3.657,0.294,0.504,4.566
0.894,1.285,0.121,2.646,3.314,4.397,1.788,2.57,5.292
1.373,1.235,1.27,2.532,0.752,2.824,2.746,2.47,5.064
1.44,1.029,0.207,2.473,4.84,4.613,2.88,2.058,4.946
1.186,0.681,1.027,0.526,1.25,2.654,2.372,1.362,1.052
1.342,0.675,0.714,4.379,4.446,2.085,2.684,1.35,8.758
0.933,1.411,0.437,4.724,2.133,4.254,1.866,2.822,9.448
0.659,1.094,0.301,1.168,4.762,0.184,1.318,2.188,2.336
1.014,0.668,0.576,2.264,2.979,4.657,2.028,1.336,4.528
1.411,0.353,1.223,1.859,4.054,0.675,2.822,0.706,3.718
1.104,1.092,1.124,4.21,4.398,1.69,2.208,2.184,8.42
1.404,1.038,0.5,0.501,2.397,1.323,2.808,2.076,1.002
0.51,0.165,0.973,2.39,0.292,2.785,1.02,0.33,4.78
0.118,1.48,0.36,0.618,3.133,3.434,0.236,2.96,1.236
1.437,0.807,0.823,1.904,4.585,2.36,2.874,1.614,3.808
0.469,1.155,0.903,0.288,4.731,4.21,0.938,2.31,0.576
0.453,1.033,1.303,4.444,0.168,3.301,0.906,2.066,8.888
1.458,0.58,1.241,2.515,0.42,4.791,2.916,1.16,5.03
0.717,0.136,1.259,2.366,0.551,1.322,1.434,0.272,4.732
0.596,0.111,1.233,1.11,2.015,0.643,1.192,0.222,2.22
0.387,1.144,1.142,2.659,3.325,4.491,0.774,2.288,5.318
0.179,1.239,0.639,1.644,0.828,4.953,0.358,2.478,3.288
0.242,1.449,0.829,0.494,3.108,4.941,0.484,2.898,0.988
0.613,1.155,0.317,0.755,4.516,0.177,1.226,2.31,1.51
0.67,1.171,0.698,1.898,0.574,3.059,1.34,2.342,3.796
0.861,0.366,1.399,1.226,3.04,2.686,1.722,0.732,2.452
1.483,0.143,0.769,2.296,2.222,1.251,2.966,0.286,4.592
0.506,0.362,0.877,3.396,0.369,3.883,1.012,0.724,6.792
1.141,0.914,1.361,1.242,4.618,2.913,2.282,1.828,2.484
0.342,1.256,0.826,3.46,2.894,2.676,0.684,2.512,6.92
0.438,1.243,1.278,1.549,2.763,4.617,0.876,2.486,3.098
1.089,0.429,0.768,0.195,4.286,0.449,2.178,0.858,0.39
1.211,0.246,1.118,4.316,4.358,0.033,2.422,0.492,8.632
0.579,0.579,0.659,4.835,3.224,0.542,1.158,1.158,9.67
1.352,0.96,1.495,2.191,1.786,0.441,2.704,1.92,4.382
1.265,1.022,0.923,0.818,2.168,1.504,2.53,2.044,1.636
1.149,1.135,0.179,3.861,3.182,0.444,2.298,2.27,7.722
1.164,0.182,1.45,2.24,0.461,2.085,2.328,0.364,4.48
1.237,0.438,0.216,4.447,2.265,3.601,2.474,0.876,8.894
1.037,0.701,0.893,3.05,3.714,1.211,2.074,1.402,6.1
0.509,1.031,0.469,1.764,0.015,4.469,1.018,2.062,3.528
0.911,0.574,0.81,1.246,0.672,4.954,1.822,1.148,2.492
0.194,0.605,0.172,2.572,4.839,3.697,0.388,1.21,5.144
0.951,0.796,1.145,0.366,3.576,3.538,1.902,1.592,0.732
0.903,0.12,0.821,0.183,3.766,3.589,1.806,0.24,0.366
1.397,0.721,1.427,3.183,3.762,4.418,2.794,1.442,6.366
1.437,0.337,1.184,0.649,1.005,2.011,2.874,0.674,1.298
0.171,0.385,1.019,3.038,4.354,4.289,0.342,0.77,6.076
0.164,0.269,1.192,2.869,4.102,2.593,0.328,0.538,5.738
0.661,0.166,0.316,1.501,4.808,4.57,1.322,0.332,3.002
1.497,0.705,0.341,0.112,1.392,1.445,2.994,1.41,0.224
0.183,1.268,0.521,3.782,1.745,1.226,0.366,2.536,7.564
1.125,0.156,1.316,4.96,3.614,2.126,2.25,0.312,9.92
1.083,1.291,1.443,2.69,1.389,1.294,2.166,2.582,5.38
0.839,0.972,0.419,4.609,3.309,0.809,1.678,1.944,9.218
0.847,0.499,0.927,3.615,0.259,1.846,1.694,0.998,7.23
0.569,0.388,0.532,3.738,3.57,1.313,1.138,0.776,7.476
1.057,1.205,0.846,2.815,1.86,3.972,2.114,2.41,5.63
1.149,1.135,0.777,4.914,0.265,1.83,2.298,2.27,9.828
1.141,0.515,1.389,1.058,2.26,3.607,2.282,1.03,2.116
0.878,0.101,0.431,2.658,1.279,1.955,1.756,0.202,5.316
0.912,0.717,0.39,4.259,3.411,1.152,1.824,1.434,8.518
0.916,1.324,1.016,2.579,1.379,4.581,1.832,2.648,5.158
0.629,0.768,1.446,3.011,4.691,4.359,1.258,1.536,6.022
1.221,0.682,0.676,3.603,4.703,2.251,2.442,1.364,7.206
0.979,1.409,0.841,0.616,1.498,4.978,1.958,2.818,1.232
0.17,0.279,0.105,3.702,4.834,2.171,0.34,0.558,7.404
0.758,0.375,0.867,0.215,0.596,1.023,1.516,0.75,0.43
0.195,1.337,0.72,2.698,0.443,2.39,0.39,2.674,5.396
1.395,0.349,1.012,1.702,4.83,1.313,2.79,0.698,3.404
1.493,0.618,0.746,0.892,3.763,1.486,2.986,1.236,1.784
1.237,1.163,1.377,4.108,1.014,2.239,2.474,2.326,8.216
0.37,0.662,0.885,1.12,1.486,3.681,0.74,1.324,2.24
1.412,0.304,0.453,4.374,3.961,0.701,2.824,0.608,8.748
0.42,0.548,1.022,0.019,2.789,1.439,0.84,1.096,0.038
1.121,0.718,0.95,1.519,0.193,0.671,2.242,1.436,3.038
0.838,1.159,0.731,0.289,4.185,4.27,1.676,2.318,0.578
0.373,0.642,0.154,3.312,3.285,3.708,0.746,1.284,6.624
0.881,1.131,0.461,3.131,2.659,0.647,1.762,2.262,6.262
0.908,0.333,1.127,2.74,3.658,3.172,1.816,0.666,5.48
1.354,0.589,0.671,0.542,2.403,1.761,2.708,1.178,1.084
0.786,0.102,0.99,0.828,3.247,1.28,1.572,0.204,1.656
1.43,1.117,1.33,4.029,2.581,4.857,2.86,2.234,8.058
1.373,0.669,1.316,2.101,3.111,0.272,2.746,1.338,4.202
0.167,0.173,1.322,2.957,0.766,0.88,0.334,0.346,5.914
1.293,1.176,1.367,0.993,1.024,2.981,2.586,2.352,1.986
0.861,1.051,0.153,4.23,2.183,0.198,1.722,2.102,8.46
1.303,0.963,0.535,0.145,4.119,2.778,2.606,1.926,0.29
1.228,1.123,1.497,4.45,1.925,1.751,2.456,2.246,8.9
0.113,1.349,0.797,1.985,2.476,1.707,0.226,2.698,3.97
0.624,1.018,0.673,0.128,4.818,0.294,1.248,2.036,0.256
1.107,1.327,0.939,4.272,3.671,0.595,2.214,2.654,8.544
1.461,1.481,1.244,4.703,0.391,4.826,2.922,2.962,9.406
0.57,1.127,0.906,2.023,2.706,1.994,1.14,2.254,4.046
1.132,0.293,0.255,1.773,4.137,0.353,2.264,0.586,3.546
0.52,0.407,0.496,1.576,1.016,0.77,1.04,0.814,3.152
0.632,1.138,0.84,0.889,0.843,0.698,1.264,2.276,1.778
1.452,1.296,0.601,0.534,4.85,1.719,2.904,2.592,1.068
0.649,0.666,0.528,0.984,2.2,2.929,1.298,1.332,1.968
0.585,1.49,1.04,3.22,4.602,4.763,1.17,2.98,6.44
0.75,1.278,0.175,0.234,3.058,4.971,1.5,2.556,0.468
0.35,0.161,0.368,3.165,3.777,2.13,0.7,0.322,6.33
0.896,0.658,0.589,3.346,0.474,1.655,1.792,1.316,6.692
1.432,0.363,0.442,3.455,1.891,0.474,2.864,0.726,6.91
0.587,0.473,0.557,4.282,2.315,2.796,1.174,0.946,8.564
1.358,1.473,1.206,3.068,3.018,1.778,2.716,2.946,6.136
0.63,1.335,1.056,4.545,1.578,2.244,1.26,2.67,9.09
0.409,1.268,0.755,0.259,3.47,3.612,0.818,2.536,0.518
0.447,1.105,0.728,0.974,2.375,2.22,0.894,2.21,1.948
1.375,0.999,0.548,4.359,1.214,1.208,2.75,1.998,8.718
0.41,1.336,0.686,4.295,1.921,1.697,0.82,2.672,8.59
0.665,0.239,0.501,2.482,0.308,0.046,1.33,0.478,4.964
0.517,0.335,0.942,0.16,0.592,1.838,1.034,0.67,0.32
0.796,0.919,0.367,3.774,1.693,3.697,1.592,1.838,7.548
0.265,0.363,1.302,4.77,4.905,0.962,0.53,0.726,9.54
0.96,1.302,0.578,2.901,0.118,2.85,1.92,2.604,5.802
0.307,0.114,0.636,2.831,1.265,1.892,0.614,0.228,5.662
0.236,0.96,1.26,4.736,1.461,1.141,0.472,1.92,9.472
0.956,0.454,0.97,4.374,2.203,3.84,1.912,0.908,8.748
0.569,1.47,0.226,3.397,1.098,1.034,1.138,2.94,6.794
0.158,0.221,0.253,4.667,3.306,1.918,0.316,0.442,9.334
0.288,0.703,0.964,2.715,4.821,1.03,0.576,1.406,5.43
1.169,0.91,1.279,0.09,0.109,2.959,2.338,1.82,0.18
0.767,1.1,1.369,3.803,1.988,2.943,1.534,2.2,7.606
1.483,1.062,1.1,4.85,0.853,0.973,2.966,2.124,9.7
1.145,0.494,1.076,4.981,3.52,4.771,2.29,0.988,9.962
0.818,0.348,0.74,3.665,1.002,2.029,1.636,0.696,7.33
0.343,0.684,0.259,3.863,2.227,3.182,0.686,1.368,7.726
1.155,1.1,0.463,4.98,0.851,4.728,2.31,2.2,9.96
0.535,1.168,0.811,1.733,4.441,4.27,1.07,2.336,3.466
1.062,0.536,0.265,2.597,0.242,2.975,2.124,1.072,5.194
0.684,0.93,0.397,0.199,1.095,4.556,1.368,1.86,0.398
0.275,1.468,1.296,0.051,2.191,3.049,0.55,2.936,0.102
0.464,0.452,1.354,2.451,4.112,0.424,0.928,0.904,4.902
0.855,0.156,0.433,1.394,4.86,0.165,1.71,0.312,2.788
1.037,0.23,0.947,3.12,0.565,2.159,2.074,0.46,6.24
0.984,1.46,1.372,1.142,0.907,0.834,1.968,2.92,2.284
0.323,0.908,1.034,3.728,1.894,2.959,0.646,1.816,7.456
0.176,0.812,0.216,2.569,1.84,1.198,0.352,1.624,5.138
0.538,0.963,0.474,1.633,0.148,0.147,1.076,1.926,3.266
1.076,1.218,1.031,0.912,2.383,4.204,2.152,2.436,1.824
1.051,0.845,1.103,0.619,1.014,3.473,2.102,1.69,1.238
1.114,1.431,0.284,3.992,3.374,4.272,2.228,2.862,7.984
1.422,0.932,0.901,2.915,3.162,2.494,2.844,1.864,5.83
0.526,0.401,0.519,3.009,4.844,5.0,1.052,0.802,6.018
1.264,1.27,0.653,1.168,2.013,4.822,2.528,2.54,2.336
0.943,0.725,1.255,2.986,1.052,1.891,1.886,1.45,5.972
0.883,1.364,1.089,0.079,3.144,0.322,1.766,2.728,0.158
0.973,0.756,0.124,4.514,1.253,2.309,1.946,1.512,9.028
0.958,1.002,0.156,3.078,3.526,2.837,1.916,2.004,6.156
0.652,0.268,0.518,4.346,2.415,3.083,1.304,0.536,8.692
0.656,0.906,0.354,0.883,1.859,2.949,1.312,1.812,1.766
0.906,0.539,0.25,1.306,2.366,0.768,1.812,1.078,2.612
0.449,0.924,0.871,3.118,1.429,2.135,0.898,1.848,6.236
0.449,0.614,0.382,4.527,2.279,0.428,0.898,1.228,9.054
1.096,0.516,0.989,2.514,2.333,0.405,2.192,1.032,5.028
1.202,0.685,0.729,2.384,3.613,2.75,2.404,1.37,4.768
0.962,0.383,0.582,4.016,4.908,4.34,1.924,0.766,8.032
0.139,1.392,0.204,2.457,1.065,4.333,0.278,2.784,4.914
0.424,1.081,0.939,0.017,1.235,1.055,0.848,2.162,0.034
1.222,0.487,0.18,2.394,2.391,3.976,2.444,0.974,4.788
1.045,0.502,1.459,1.576,4.927,0.21,2.09,1.004,3.152
1.46,0.223,0.278,0.099,2.356,3.099,2.92,0.446,0.198
0.92,1.318,1.441,4.695,2.767,4.71,1.84,2.636,9.39
1.246,0.308,1.338,3.46,3.032,1.428,2.492,0.616,6.92
0.12,1.242,1.27,1.953,3.372,1.592,0.24,2.484,3.906
0.4,0.341,0.108,2.554,2.501,4.982,0.8,0.682,5.108
0.951,1.123,0.101,0.203,2.832,2.589,1.902,2.246,0.406
0.59,1.499,0.292,2.033,1.023,1.859,1.18,2.998,4.066
0.885,0.162,0.625,3.941,2.469,2.386,1.77,0.324,7.882
0.107,0.848,0.932,3.932,4.792,3.24,0.214,1.696,7.864
1.011,1.37,1.088,0.473,0.14,4.648,2.022,2.74,0.946
0.657,0.752,1.175,1.508,1.606,1.977,1.314,1.504,3.016
1.174,0.144,1.308,1.408,1.764,2.232,2.348,0.288,2.816
0.836,1.099,0.55,3.113,3.531,2.346,1.672,2.198,6.226
1.071,0.598,0.218,1.433,3.401,0.347,2.142,1.196,2.866
0.445,1.349,1.484,4.493,0.654,4.337,0.89,2.698,8.986
0.944,1.458,1.058,1.703,3.331,4.278,1.888,2.916,3.406
0.521,0.586,0.714,2.329,2.428,2.768,1.042,1.172,4.658
0.666,0.308,1.091,3.235,4.817,0.485,1.332,0.616,6.47
0.784,1.362,1.231,0.364,3.976,0.498,1.568,2.724,0.728
1.065,1.346,0.856,2.691,1.926,3.166,2.13,2.692,5.382
0.395,1.019,0.27,1.002,3.589,1.478,0.79,2.038,2.004
1.098,0.475,0.719,0.894,4.792,3.143,2.196,0.95,1.788
0.303,0.464,0.963,0.078,4.895,0.729,0.606,0.928,0.156
0.737,1.491,0.599,4.296,2.051,1.034,1.474,2.982,8.592
1.463,0.766,1.365,4.153,3.049,0.767,2.926,1.532,8.306
0.13,1.336,0.806,2.3,0.986,0.285,0.26,2.672,4.6
1.496,0.925,0.406,0.802,0.009,3.739,2.992,1.85,1.604
1.011,1.354,0.715,2.785,4.323,2.204,2.022,2.708,5.57
1.096,1.085,0.73,4.439,0.536,3.155,2.192,2.17,8.878
1.463,1.426,0.562,0.146,0.676,0.261,2.926,2.852,0.292
0.717,0.256,0.196,1.072,3.935,3.071,1.434,0.512,2.144
0.922,0.226,1.173,4.265,3.542,2.527,1.844,0.452,8.53
0.111,0.217,1.294,3.522,3.989,0.852,0.222,0.434,7.044
0.499,1.458,0.625,2.195,0.711,1.04,0.998,2.916,4.39
0.985,1.272,1.296,1.05,2.717,4.435,1.97,2.544,2.1
0.154,0.324,0.414,1.539,0.078,3.214,0.308,0.648,3.078
1.1,0.589,0.885,4.208,0.102,1.527,2.2,1.178,8.416
1.343,1.389,1.47,2.872,3.073,4.062,2.686,2.778,5.744
1.145,1.288,0.38,0.826,2.423,4.433,2.29,2.576,1.652
0.75,0.432,0.774,4.058,2.535,2.097,1.5,0.864,8.116
