C,Mn,Si,Cr,Ni,Mo,F_Ferrite,F_Pearlite,F_Bainite,F_Martensite,Yield_MPa,UTS_MPa,Hardness_HV,Elongation_Pct
0.186,1.078,0.592,1.353,4.224,4.541,0.4,0.4,0.1,0.1,450.8,540.96,136.60606060606062,27.21
1.231,0.27,0.716,3.231,3.978,4.069,0.4,0.4,0.1,0.1,892.5,1071.0,270.4545454545455,11.535
1.123,0.731,0.864,1.404,2.422,0.026,0.4,0.4,0.1,0.1,884.6,1061.52,268.06060606060606,13.155000000000001
1.03,0.823,0.716,4.967,1.397,0.026,0.4,0.4,0.1,0.1,847.3,1016.7599999999999,256.75757575757575,14.549999999999999
0.183,0.725,0.517,2.346,0.206,0.632,0.4,0.4,0.1,0.1,414.0,496.79999999999995,125.45454545454547,27.255
0.12,1.309,0.273,4.284,0.891,2.4,0.4,0.4,0.1,0.1,440.9,529.0799999999999,133.6060606060606,28.2
1.271,0.736,1.311,0.971,0.148,2.691,0.4,0.4,0.1,0.1,959.1,1150.92,290.6363636363637,10.935000000000002
0.131,0.962,0.906,3.544,1.447,2.612,0.4,0.4,0.1,0.1,411.7,494.03999999999996,124.75757575757576,28.035
1.051,0.535,0.988,3.32,4.765,4.247,0.4,0.4,0.1,0.1,829.0,994.8,251.21212121212122,14.235000000000001
1.141,0.634,0.967,4.152,1.327,2.736,0.4,0.4,0.1,0.1,883.9,1060.6799999999998,267.8484848484849,12.884999999999998
0.647,1.291,1.472,1.93,3.942,0.453,0.4,0.4,0.1,0.1,702.6,843.12,212.90909090909093,20.295
0.517,0.753,0.397,3.233,4.63,0.545,0.4,0.4,0.1,0.1,583.8,700.56,176.9090909090909,22.245
1.059,0.653,0.223,0.401,1.289,4.083,0.4,0.4,0.1,0.1,844.8,1013.7599999999999,256.0,14.115
0.465,0.808,1.303,1.041,3.396,3.539,0.4,0.4,0.1,0.1,563.3,675.9599999999999,170.6969696969697,23.025
1.379,1.229,0.416,3.651,4.514,2.308,0.4,0.4,0.1,0.1,1062.4,1274.88,321.939393939394,9.315000000000001
0.302,1.361,0.534,2.748,4.456,2.152,0.4,0.4,0.1,0.1,537.1,644.52,162.75757575757578,25.47
0.248,0.797,0.418,4.476,4.155,3.345,0.4,0.4,0.1,0.1,453.7,544.4399999999999,137.4848484848485,26.28
0.155,0.76,0.565,2.389,0.579,3.295,0.4,0.4,0.1,0.1,403.5,484.2,122.27272727272728,27.675
0.198,0.453,0.578,0.426,1.823,0.147,0.4,0.4,0.1,0.1,394.3,473.15999999999997,119.4848484848485,27.03
0.839,0.538,1.477,4.549,4.33,4.87,0.4,0.4,0.1,0.1,723.3,867.9599999999999,219.1818181818182,17.415
0.984,1.33,1.256,2.852,1.563,0.691,0.4,0.4,0.1,0.1,875.0,1050.0,265.1515151515152,15.24
0.596,0.312,1.335,2.378,1.354,0.047,0.4,0.4,0.1,0.1,579.2,695.0400000000001,175.51515151515153,21.060000000000002
0.508,1.389,0.589,2.193,4.969,1.488,0.4,0.4,0.1,0.1,642.9,771.4799999999999,194.8181818181818,22.38
0.759,0.361,0.456,1.897,2.241,4.13,0.4,0.4,0.1,0.1,665.6,798.72,201.69696969696972,18.615000000000002
0.764,0.655,0.309,2.378,0.775,0.789,0.4,0.4,0.1,0.1,697.5,837.0,211.36363636363637,18.54
1.337,0.139,0.653,3.612,3.133,2.801,0.4,0.4,0.1,0.1,932.4,1118.8799999999999,282.54545454545456,9.945
0.671,1.306,0.44,2.759,3.699,0.77,0.4,0.4,0.1,0.1,716.1,859.32,217.00000000000003,19.935
0.676,0.475,1.041,2.142,3.841,2.719,0.4,0.4,0.1,0.1,635.5,762.6,192.5757575757576,19.86
0.154,1.249,1.059,2.01,0.111,0.542,0.4,0.4,0.1,0.1,451.9,542.28,136.93939393939394,27.69
0.467,0.837,1.174,0.289,3.439,0.305,0.4,0.4,0.1,0.1,567.2,680.64,171.8787878787879,22.994999999999997
0.46,1.125,0.75,1.585,0.656,3.659,0.4,0.4,0.1,0.1,592.5,711.0,179.54545454545456,23.1
0.634,0.545,0.859,3.344,4.66,0.914,0.4,0.4,0.1,0.1,621.5,745.8,188.33333333333334,20.490000000000002
0.934,0.829,0.771,3.474,3.223,2.905,0.4,0.4,0.1,0.1,799.9,959.8799999999999,242.3939393939394,15.989999999999998
1.32,0.203,1.149,0.277,4.132,0.549,0.4,0.4,0.1,0.1,930.3,1116.36,281.90909090909093,10.2
0.496,1.309,0.198,0.547,1.638,3.602,0.4,0.4,0.1,0.1,628.9,754.68,190.5757575757576,22.560000000000002
0.81,1.261,0.713,3.529,1.985,4.744,0.4,0.4,0.1,0.1,781.1,937.3199999999999,236.69696969696972,17.85
0.56,0.91,0.148,3.075,0.461,2.265,0.4,0.4,0.1,0.1,621.0,745.1999999999999,188.1818181818182,21.6
0.8,0.567,0.884,1.321,3.526,2.233,0.4,0.4,0.1,0.1,706.7,848.0400000000001,214.15151515151518,18.0
1.312,0.968,0.689,1.496,4.658,0.416,0.4,0.4,0.1,0.1,1002.8,1203.36,303.8787878787879,10.32
0.402,1.047,0.728,1.221,3.98,4.185,0.4,0.4,0.1,0.1,555.7,666.84,168.3939393939394,23.97
1.246,1.067,1.159,2.096,1.625,3.351,0.4,0.4,0.1,0.1,979.7,1175.64,296.87878787878793,11.309999999999999
1.093,0.328,0.944,1.783,3.28,2.343,0.4,0.4,0.1,0.1,829.3,995.1599999999999,251.3030303030303,13.605
0.266,0.383,1.057,1.331,1.762,0.045,0.4,0.4,0.1,0.1,421.3,505.56,127.66666666666667,26.009999999999998
1.296,0.996,1.325,0.943,4.189,1.78,0.4,0.4,0.1,0.1,997.6,1197.12,302.3030303030303,10.559999999999999
0.565,1.311,0.641,4.941,1.236,2.987,0.4,0.4,0.1,0.1,663.6,796.32,201.09090909090912,21.525
0.232,0.126,0.887,0.686,4.532,0.098,0.4,0.4,0.1,0.1,378.6,454.32,114.72727272727273,26.52
1.002,1.327,0.475,2.637,0.771,0.913,0.4,0.4,0.1,0.1,883.7,1060.44,267.7878787878788,14.97
0.386,1.441,0.824,1.098,1.451,1.732,0.4,0.4,0.1,0.1,587.1,704.52,177.90909090909093,24.21
1.275,0.127,1.192,1.729,4.223,3.819,0.4,0.4,0.1,0.1,900.2,1080.24,272.7878787878788,10.875
0.526,1.029,1.008,2.863,1.013,2.416,0.4,0.4,0.1,0.1,615.9,739.0799999999999,186.63636363636363,22.11
0.787,1.096,1.179,4.048,0.118,1.092,0.4,0.4,0.1,0.1,753.1,903.72,228.21212121212122,18.195
0.455,1.033,1.344,4.646,0.21,2.924,0.4,0.4,0.1,0.1,580.8,696.9599999999999,176.0,23.175
1.02,0.792,0.244,0.035,2.299,3.399,0.4,0.4,0.1,0.1,839.2,1007.04,254.30303030303034,14.7
0.754,0.184,0.768,4.336,2.451,2.404,0.4,0.4,0.1,0.1,645.4,774.4799999999999,195.5757575757576,18.689999999999998
1.438,0.75,1.215,4.796,3.691,1.237,0.4,0.4,0.1,0.1,1044.0,1252.8,316.3636363636364,8.43
0.382,0.921,0.552,1.48,1.977,0.677,0.4,0.4,0.1,0.1,533.1,639.72,161.54545454545456,24.27
1.13,0.642,1.173,2.214,3.035,3.573,0.4,0.4,0.1,0.1,879.2,1055.04,266.42424242424244,13.05
0.306,0.322,0.916,4.804,1.332,1.062,0.4,0.4,0.1,0.1,435.2,522.24,131.87878787878788,25.41
1.479,0.193,1.141,2.208,2.75,3.216,0.4,0.4,0.1,0.1,1008.8,1210.56,305.6969696969697,7.814999999999998
0.81,0.569,0.142,3.571,2.813,3.184,0.4,0.4,0.1,0.1,711.9,854.28,215.72727272727272,17.85
1.428,0.591,0.85,1.546,2.236,2.44,0.4,0.4,0.1,0.1,1023.1,1227.72,310.03030303030306,8.580000000000002
1.31,0.721,1.405,1.593,3.856,2.704,0.4,0.4,0.1,0.1,977.1,1172.52,296.0909090909091,10.349999999999998
0.147,0.252,0.823,2.283,3.439,3.657,0.4,0.4,0.1,0.1,348.7,418.44,105.66666666666667,27.795
0.894,1.285,0.121,2.646,3.314,4.397,0.4,0.4,0.1,0.1,825.5,990.5999999999999,250.15151515151516,16.59
1.373,1.235,1.27,2.532,0.752,2.824,0.4,0.4,0.1,0.1,1060.0,1272.0,321.21212121212125,9.405000000000001
1.44,1.029,0.207,2.473,4.84,4.613,0.4,0.4,0.1,0.1,1072.9,1287.48,325.1212121212122,8.400000000000002
1.186,0.681,1.027,0.526,1.25,2.654,0.4,0.4,0.1,0.1,911.1,1093.32,276.0909090909091,12.21
1.342,0.675,0.714,4.379,4.446,2.085,0.4,0.4,0.1,0.1,988.5,1186.2,299.54545454545456,9.869999999999997
0.933,1.411,0.437,4.724,2.133,4.254,0.4,0.4,0.1,0.1,857.6,1029.12,259.8787878787879,16.005
0.659,1.094,0.301,1.168,4.762,0.184,0.4,0.4,0.1,0.1,688.9,826.68,208.75757575757575,20.115000000000002
1.014,0.668,0.576,2.264,2.979,4.657,0.4,0.4,0.1,0.1,823.8,988.56,249.63636363636363,14.79
1.411,0.353,1.223,1.859,4.054,0.675,0.4,0.4,0.1,0.1,990.8,1188.9599999999998,300.24242424242425,8.835
1.104,1.092,1.124,4.21,4.398,1.69,0.4,0.4,0.1,0.1,911.2,1093.44,276.1212121212121,13.439999999999998
1.404,1.038,0.5,0.501,2.397,1.323,0.4,0.4,0.1,0.1,1055.8,1266.9599999999998,319.93939393939394,8.940000000000001
0.51,0.165,0.973,2.39,0.292,2.785,0.4,0.4,0.1,0.1,521.5,625.8,158.03030303030303,22.35
0.118,1.48,0.36,0.618,3.133,3.434,0.4,0.4,0.1,0.1,457.0,548.4,138.4848484848485,28.23
1.437,0.807,0.823,1.904,4.585,2.36,0.4,0.4,0.1,0.1,1049.2,1259.04,317.939393939394,8.445
0.469,1.155,0.903,0.288,4.731,4.21,0.4,0.4,0.1,0.1,600.0,720.0,181.81818181818184,22.965
0.453,1.033,1.303,4.444,0.168,3.301,0.4,0.4,0.1,0.1,579.8,695.7599999999999,175.6969696969697,23.205
1.458,0.58,1.241,2.515,0.42,4.791,0.4,0.4,0.1,0.1,1037.0,1244.3999999999999,314.24242424242425,8.129999999999999
0.717,0.136,1.259,2.366,0.551,1.322,0.4,0.4,0.1,0.1,622.1,746.52,188.51515151515153,19.245
0.596,0.111,1.233,1.11,2.015,0.643,0.4,0.4,0.1,0.1,559.1,670.92,169.42424242424244,21.060000000000002
0.387,1.144,1.142,2.659,3.325,4.491,0.4,0.4,0.1,0.1,557.9,669.4799999999999,169.06060606060606,24.195
0.179,1.239,0.639,1.644,0.828,4.953,0.4,0.4,0.1,0.1,463.4,556.0799999999999,140.42424242424244,27.315
0.242,1.449,0.829,0.494,3.108,4.941,0.4,0.4,0.1,0.1,515.9,619.0799999999999,156.33333333333334,26.37
0.613,1.155,0.317,0.755,4.516,0.177,0.4,0.4,0.1,0.1,672.0,806.4,203.63636363636365,20.805
0.67,1.171,0.698,1.898,0.574,3.059,0.4,0.4,0.1,0.1,702.1,842.52,212.75757575757578,19.95
0.861,0.366,1.399,1.226,3.04,2.686,0.4,0.4,0.1,0.1,717.1,860.52,217.3030303030303,17.085
1.483,0.143,0.769,2.296,2.222,1.251,0.4,0.4,0.1,0.1,1005.8,1206.9599999999998,304.7878787878788,7.754999999999999
0.506,0.362,0.877,3.396,0.369,3.883,0.4,0.4,0.1,0.1,539.2,647.0400000000001,163.3939393939394,22.41
1.141,0.914,1.361,1.242,4.618,2.913,0.4,0.4,0.1,0.1,911.9,1094.28,276.3333333333333,12.884999999999998
0.342,1.256,0.826,3.46,2.894,2.676,0.4,0.4,0.1,0.1,546.6,655.92,165.63636363636365,24.869999999999997
0.438,1.243,1.278,1.549,2.763,4.617,0.4,0.4,0.1,0.1,593.3,711.9599999999999,179.78787878787878,23.43
1.089,0.429,0.768,0.195,4.286,0.449,0.4,0.4,0.1,0.1,837.4,1004.8799999999999,253.75757575757575,13.665
1.211,0.246,1.118,4.316,4.358,0.033,0.4,0.4,0.1,0.1,880.1,1056.12,266.69696969696975,11.834999999999997
0.579,0.579,0.659,4.835,3.224,0.542,0.4,0.4,0.1,0.1,597.4,716.88,181.03030303030303,21.315
1.352,0.96,1.495,2.191,1.786,0.441,0.4,0.4,0.1,0.1,1022.0,1226.3999999999999,309.6969696969697,9.719999999999999
1.265,1.022,0.923,0.818,2.168,1.504,0.4,0.4,0.1,0.1,984.7,1181.64,298.39393939393943,11.025000000000002
